seed,trained,evaluated,crashrate,mergerate,ego speed,road speed
80, 3, 20, 0.04666666666666667, 0.9466666666666667, 21.309820828695596, 20.95006128555085
80, 5, 20, 0.02, 0.9333333333333333, 22.350077785846626, 21.163991779503935
80, 12, 20, 0.03333333333333333, 0.9666666666666667, 22.82799082774237, 21.144427908992817
80, 20, 20, 0.06, 0.93, 21.272445635287834, 21.1654882285669
80, 30, 20, 0.04, 0.9566666666666667, 20.42443041522328, 21.0324849240742
1067, No Interference, 20, 0.09333333333333334, 0.8233333333333334, 14.163426369196552, 20.367728272764026
1067, 3, 20, 0.043333333333333335, 0.9466666666666667, 21.34047340585282, 21.014584249789902
1067, 5, 20, 0.03333333333333333, 0.95, 22.474240289902735, 21.261913023186093
1067, 12, 20, 0.03, 0.9633333333333334, 22.897545252358857, 21.1886943451643
1067, 20, 20, 0.05, 0.95, 21.08411811934761, 20.994355589811246
1067, 30, 20, 0.04666666666666667, 0.9533333333333334, 20.101047320412984, 20.938824451495915
1084, No Interference, 20, 0.06666666666666667, 0.8233333333333334, 14.354793813508163, 20.32019642971475
1084, 3, 20, 0.056666666666666664, 0.9233333333333333, 21.391076214317756, 21.094173228531417
1084, 5, 20, 0.04666666666666667, 0.9366666666666666, 22.386650587148825, 21.171369142333468
1084, 12, 20, 0.043333333333333335, 0.9533333333333334, 23.11563841105716, 21.303381577731717
1084, 20, 20, 0.04666666666666667, 0.9533333333333334, 20.920764781042326, 21.01544397748353
1084, 30, 20, 0.04, 0.96, 20.683981769061297, 21.168668728734453
115, No Interference, 20, 0.07666666666666666, 0.8333333333333334, 14.134969678237168, 20.49341023328935
115, 3, 20, 0.07333333333333333, 0.9066666666666666, 21.314543686134627, 20.904528567955005
115, 5, 20, 0.02, 0.9533333333333334, 22.644247021436144, 21.205006174818948
115, 12, 20, 0.03, 0.9633333333333334, 23.20467679780817, 21.193835398820422
115, 20, 20, 0.06, 0.9333333333333333, 21.31435785726746, 20.984009845546375
115, 30, 20, 0.03666666666666667, 0.9633333333333334, 20.52864282704399, 21.008655665855233
21, No Interference, 30, 0.16333333333333333, 0.6666666666666666, 12.928874126128317, 20.161587705950616
21, 3, 30, 0.08, 0.9, 21.068319586930457, 20.93148901292859
21, 5, 30, 0.06333333333333334, 0.8766666666666667, 22.307335669428994, 21.250172267902034
